TRAT;CBM
D_0;127,0361990474
D_0;167,2158803045
D_0;138,45094936
D_0;114,1581717048
D_0;137,0299138502
D_30;125,6278237165
D_30;140,7670896228
D_30;130,6379244906
D_30;120,5534650877
D_30;121,9849243404
D_40;157,1107513161
D_40;178,6444444914
D_40;140,527077031
D_40;146,4914482266
D_40;150,4344794786
D_50;187,5117386369
D_50;157,8338164576
D_50;146,3674763943
D_50;163,9043438296
D_50;151,5485238549
D_60;190,8679672102
D_60;263,3758385927
D_60;194,3706146971
D_60;262,7978923609
D_60;190,3412112765
